longitude,latitude
70,40
53.7121,15.3046
56.5432,21.4188
20.1050,15.4562
26.2418,18.1760
28.2694,29.0011
8.9586,24.6635
8.1519,9.5325
31.9499,17.6309
43.5474,3.9061
23.9222,7.6306
21.5051,24.0909
17.1168,20.0354
52.1181,0.4088
37.5848,16.8474
14.4703,13.6368
58.6849,27.1485
38.4300,8.4648
13.7909,1.9510
40.8801,14.2978
39.9494,29.5114
8.0831,27.6705
1.3496,16.8359
15.7320,19.5697
6.9909,23.1804
4.1591,3.1853
51.1758,0.0322
10.8198,16.2529
1.9451,0.2057
44.0356,13.5401
32.1910,5.8699
16.5618,23.6143
22.1075,18.5569
0.7732,0.4656
53.3524,26.7256
51.9612,22.8511
15.2548,27.2111
34.1688,22.7571
9.5559,11.4219
35.6619,9.9333
19.8660,15.1224
39.5168,16.9371
51.8181,23.0159
34.0574,23.3960

